serial,end_surgeme_frame_id,start_new_video,start_new_pegtransfer,ground_truth,prediction,mispredict_in_trial,pass_type,pegs_initial_configuration,tilt,target_pole,side_of_pole
23,S6_T6_color_frame439.jpg,0,0,1,1,0,R-L,"[1, 3, 6]",2,3,R
24,S6_T6_color_frame598.jpg,0,0,2,2,0,R-L,"[1, 3, 6]",2,3,R
25,S6_T6_color_frame1523.jpg,0,0,3,3,0,R-L,"[1, 3, 6]",2,3,RL
26,S6_T6_color_frame1870.jpg,0,0,4,4,0,R-L,"[1, 3, 6]",2,3,RL
27,S6_T6_color_frame3606.jpg,0,0,5,5,0,R-L,"[1, 3, 6]",2,3,L
28,S6_T6_color_frame3797.jpg,0,0,6,6,0,R-L,"[1, 3, 6]",2,3,L
29,S6_T6_color_frame4082.jpg,0,1,0,0,0,R-L,"[1, 3, 6]",2,6,R
30,S6_T6_color_frame4204.jpg,0,0,1,1,0,R-L,"[1, 3, 6]",2,6,R
31,S6_T6_color_frame4263.jpg,0,0,2,2,0,R-L,"[1, 3, 6]",2,6,R
32,S6_T6_color_frame4439.jpg,0,0,3,3,0,R-L,"[1, 3, 6]",2,6,RL
33,S6_T6_color_frame4590.jpg,0,0,4,4,0,R-L,"[1, 3, 6]",2,6,RL
34,S6_T6_color_frame4690.jpg,0,0,5,5,0,R-L,"[1, 3, 6]",2,6,L
35,S6_T6_color_frame4879.jpg,0,0,6,6,0,R-L,"[1, 3, 6]",2,6,L
36,S6_T6_color_frame5022.jpg,0,1,0,1,1,R-L,"[1, 3, 6]",2,1,R
37,S6_T6_color_frame5102.jpg,0,0,1,1,1,R-L,"[1, 3, 6]",2,1,R
38,S6_T6_color_frame5156.jpg,0,0,2,2,1,R-L,"[1, 3, 6]",2,1,R
39,S6_T6_color_frame5215.jpg,0,0,3,3,1,R-L,"[1, 3, 6]",2,1,RL
40,S6_T6_color_frame5350.jpg,0,0,4,4,1,R-L,"[1, 3, 6]",2,1,RL
41,S6_T6_color_frame5472.jpg,0,0,5,6,1,R-L,"[1, 3, 6]",2,1,L
42,S7_T1_color_frame144.jpg,0,0,6,6,1,R-L,"[1, 3, 6]",2,1,L
43,S7_T1_color_frame382.jpg,1,1,0,0,1,R-L,"[3, 1, 6]",1,6,R
44,S7_T1_color_frame599.jpg,0,0,1,1,1,R-L,"[3, 1, 6]",1,6,R
45,S7_T1_color_frame783.jpg,0,0,2,1,1,R-L,"[3, 1, 6]",1,6,R
46,S7_T1_color_frame978.jpg,0,0,3,3,1,R-L,"[3, 1, 6]",1,6,RL
47,S7_T1_color_frame1125.jpg,0,0,4,4,1,R-L,"[3, 1, 6]",1,6,RL
48,S7_T1_color_frame1228.jpg,0,0,5,5,1,R-L,"[3, 1, 6]",1,6,L
49,S7_T1_color_frame1351.jpg,0,0,6,6,1,R-L,"[3, 1, 6]",1,6,L
50,S7_T1_color_frame1680.jpg,0,1,0,0,0,R-L,"[3, 1, 6]",1,3,R
51,S7_T1_color_frame1752.jpg,0,0,1,1,0,R-L,"[3, 1, 6]",1,3,R
52,S7_T1_color_frame1821.jpg,0,0,2,2,0,R-L,"[3, 1, 6]",1,3,R
53,S7_T1_color_frame1956.jpg,0,0,3,3,0,R-L,"[3, 1, 6]",1,3,RL
54,S7_T1_color_frame2085.jpg,0,0,4,4,0,R-L,"[3, 1, 6]",1,3,RL
55,S7_T1_color_frame2157.jpg,0,0,5,5,0,R-L,"[3, 1, 6]",1,3,L
56,S7_T1_color_frame2247.jpg,0,0,6,6,0,R-L,"[3, 1, 6]",1,3,L
57,S7_T1_color_frame2422.jpg,0,1,0,0,0,R-L,"[3, 1, 6]",1,1,R
58,S7_T1_color_frame2525.jpg,0,0,1,1,0,R-L,"[3, 1, 6]",1,1,R
59,S7_T1_color_frame2592.jpg,0,0,2,2,0,R-L,"[3, 1, 6]",1,1,R
60,S7_T1_color_frame2694.jpg,0,0,3,3,0,R-L,"[3, 1, 6]",1,1,RL
61,S7_T1_color_frame2809.jpg,0,0,4,4,0,R-L,"[3, 1, 6]",1,1,RL
62,S7_T1_color_frame2884.jpg,0,0,5,5,0,R-L,"[3, 1, 6]",1,1,L
63,S7_T2_color_frame209.jpg,0,0,6,6,0,R-L,"[3, 1, 6]",1,1,L
64,S7_T2_color_frame300.jpg,1,1,0,0,0,L-R,"[3, 6, 1]",1,3,L
65,S7_T2_color_frame498.jpg,0,0,1,1,0,L-R,"[3, 6, 1]",1,3,L
66,S7_T2_color_frame702.jpg,0,0,2,2,0,L-R,"[3, 6, 1]",1,3,L
67,S7_T2_color_frame832.jpg,0,0,3,3,0,L-R,"[3, 6, 1]",1,3,LR
68,S7_T2_color_frame964.jpg,0,0,4,4,0,L-R,"[3, 6, 1]",1,3,LR
69,S7_T2_color_frame1168.jpg,0,0,5,5,0,L-R,"[3, 6, 1]",1,3,R
70,S7_T2_color_frame1262.jpg,0,0,6,6,0,L-R,"[3, 6, 1]",1,3,R
71,S7_T2_color_frame1430.jpg,0,1,0,0,1,L-R,"[3, 6, 1]",1,6,L
72,S7_T2_color_frame2300.jpg,0,0,1,1,1,L-R,"[3, 6, 1]",1,6,L
73,S7_T2_color_frame2425.jpg,0,0,2,2,1,L-R,"[3, 6, 1]",1,6,L
74,S7_T2_color_frame2517.jpg,0,0,3,5,1,L-R,"[3, 6, 1]",1,6,LR
75,S7_T2_color_frame2614.jpg,0,0,4,4,1,L-R,"[3, 6, 1]",1,6,LR
76,S7_T2_color_frame2727.jpg,0,0,5,5,1,L-R,"[3, 6, 1]",1,6,R
77,S7_T2_color_frame2867.jpg,0,0,6,6,1,L-R,"[3, 6, 1]",1,6,R
78,S7_T2_color_frame3057.jpg,0,1,0,0,0,L-R,"[3, 6, 1]",1,1,L
79,S7_T2_color_frame3137.jpg,0,0,1,1,0,L-R,"[3, 6, 1]",1,1,L
80,S7_T2_color_frame3186.jpg,0,0,2,2,0,L-R,"[3, 6, 1]",1,1,L
81,S7_T2_color_frame3351.jpg,0,0,3,3,0,L-R,"[3, 6, 1]",1,1,LR
82,S7_T2_color_frame3438.jpg,0,0,4,4,0,L-R,"[3, 6, 1]",1,1,LR
83,S7_T2_color_frame3557.jpg,0,0,5,5,0,L-R,"[3, 6, 1]",1,1,R
84,S7_T3_color_frame149.jpg,0,0,6,6,0,L-R,"[3, 6, 1]",1,1,R
85,S7_T3_color_frame280.jpg,1,1,0,0,0,L-R,"[4, 6, 2]",2,4,L
86,S7_T3_color_frame393.jpg,0,0,1,1,0,L-R,"[4, 6, 2]",2,4,L
87,S7_T3_color_frame487.jpg,0,0,2,2,0,L-R,"[4, 6, 2]",2,4,L
88,S7_T3_color_frame760.jpg,0,0,3,3,0,L-R,"[4, 6, 2]",2,4,LR
89,S7_T3_color_frame889.jpg,0,0,4,4,0,L-R,"[4, 6, 2]",2,4,LR
90,S7_T3_color_frame962.jpg,0,0,5,5,0,L-R,"[4, 6, 2]",2,4,R
91,S7_T3_color_frame1074.jpg,0,0,6,6,0,L-R,"[4, 6, 2]",2,4,R
92,S7_T3_color_frame1245.jpg,0,1,0,0,0,L-R,"[4, 6, 2]",2,2,L
93,S7_T3_color_frame1400.jpg,0,0,1,1,0,L-R,"[4, 6, 2]",2,2,L
94,S7_T3_color_frame1482.jpg,0,0,2,2,0,L-R,"[4, 6, 2]",2,2,L
95,S7_T3_color_frame1543.jpg,0,0,3,3,0,L-R,"[4, 6, 2]",2,2,LR
96,S7_T3_color_frame1700.jpg,0,0,4,4,0,L-R,"[4, 6, 2]",2,2,LR
97,S7_T3_color_frame1785.jpg,0,0,5,5,0,L-R,"[4, 6, 2]",2,2,R
98,S7_T3_color_frame1901.jpg,0,0,6,6,0,L-R,"[4, 6, 2]",2,2,R
99,S7_T3_color_frame2071.jpg,0,1,0,0,0,L-R,"[4, 6, 2]",2,6,L
100,S7_T3_color_frame2137.jpg,0,0,1,1,0,L-R,"[4, 6, 2]",2,6,L
101,S7_T3_color_frame2262.jpg,0,0,2,2,0,L-R,"[4, 6, 2]",2,6,L
102,S7_T3_color_frame2339.jpg,0,0,3,3,0,L-R,"[4, 6, 2]",2,6,LR
103,S7_T3_color_frame2451.jpg,0,0,4,4,0,L-R,"[4, 6, 2]",2,6,LR
104,S7_T3_color_frame2547.jpg,0,0,5,5,0,L-R,"[4, 6, 2]",2,6,R
105,S7_T4_color_frame244.jpg,0,0,6,6,0,L-R,"[4, 6, 2]",2,6,R
106,S7_T4_color_frame557.jpg,1,1,0,0,0,L-R,"[4, 1, 2]",3,2,L
107,S7_T4_color_frame649.jpg,0,0,1,1,0,L-R,"[4, 1, 2]",3,2,L
108,S7_T4_color_frame773.jpg,0,0,2,2,0,L-R,"[4, 1, 2]",3,2,L
109,S7_T4_color_frame967.jpg,0,0,3,3,0,L-R,"[4, 1, 2]",3,2,LR
110,S7_T4_color_frame1142.jpg,0,0,4,4,0,L-R,"[4, 1, 2]",3,2,LR
111,S7_T4_color_frame1236.jpg,0,0,5,5,0,L-R,"[4, 1, 2]",3,2,R
112,S7_T4_color_frame1423.jpg,0,0,6,6,0,L-R,"[4, 1, 2]",3,2,R
113,S7_T4_color_frame1559.jpg,0,1,0,1,1,L-R,"[4, 1, 2]",3,1,L
114,S7_T4_color_frame1697.jpg,0,0,1,1,1,L-R,"[4, 1, 2]",3,1,L
115,S7_T4_color_frame1770.jpg,0,0,2,2,1,L-R,"[4, 1, 2]",3,1,L
116,S7_T4_color_frame1854.jpg,0,0,3,3,1,L-R,"[4, 1, 2]",3,1,LR
117,S7_T4_color_frame2117.jpg,0,0,4,4,1,L-R,"[4, 1, 2]",3,1,LR
118,S7_T4_color_frame2225.jpg,0,0,5,5,1,L-R,"[4, 1, 2]",3,1,R
119,S7_T4_color_frame2315.jpg,0,0,6,6,1,L-R,"[4, 1, 2]",3,1,R
120,S7_T4_color_frame2575.jpg,0,1,0,0,0,L-R,"[4, 1, 2]",3,4,L
121,S7_T4_color_frame2620.jpg,0,0,1,1,0,L-R,"[4, 1, 2]",3,4,L
122,S7_T4_color_frame2695.jpg,0,0,2,2,0,L-R,"[4, 1, 2]",3,4,L
123,S7_T4_color_frame2802.jpg,0,0,3,3,0,L-R,"[4, 1, 2]",3,4,LR
124,S7_T4_color_frame2909.jpg,0,0,4,4,0,L-R,"[4, 1, 2]",3,4,LR
125,S7_T4_color_frame2988.jpg,0,0,5,5,0,L-R,"[4, 1, 2]",3,4,R
126,S7_T5_color_frame78.jpg,0,0,6,6,0,L-R,"[4, 1, 2]",3,4,R
127,S7_T5_color_frame238.jpg,1,1,0,0,1,R-L,"[3, 5, 2]",2,5,R
128,S7_T5_color_frame325.jpg,0,0,1,1,1,R-L,"[3, 5, 2]",2,5,R
129,S7_T5_color_frame1134.jpg,0,0,2,1,1,R-L,"[3, 5, 2]",2,5,R
130,S7_T5_color_frame1248.jpg,0,0,3,3,1,R-L,"[3, 5, 2]",2,5,RL
131,S7_T5_color_frame1325.jpg,0,0,4,4,1,R-L,"[3, 5, 2]",2,5,RL
132,S7_T5_color_frame1404.jpg,0,0,5,6,1,R-L,"[3, 5, 2]",2,5,L
133,S7_T5_color_frame1513.jpg,0,0,6,6,1,R-L,"[3, 5, 2]",2,5,L
134,S7_T5_color_frame1923.jpg,0,1,0,0,0,R-L,"[3, 5, 2]",2,3,R
135,S7_T5_color_frame2072.jpg,0,0,1,1,0,R-L,"[3, 5, 2]",2,3,R
136,S7_T5_color_frame2182.jpg,0,0,2,2,0,R-L,"[3, 5, 2]",2,3,R
137,S7_T5_color_frame2248.jpg,0,0,3,3,0,R-L,"[3, 5, 2]",2,3,RL
138,S7_T5_color_frame2345.jpg,0,0,4,4,0,R-L,"[3, 5, 2]",2,3,RL
139,S7_T5_color_frame2375.jpg,0,0,5,5,0,R-L,"[3, 5, 2]",2,3,L
140,S7_T5_color_frame2545.jpg,0,0,6,6,0,R-L,"[3, 5, 2]",2,3,L
141,S7_T5_color_frame2629.jpg,0,1,0,0,0,R-L,"[3, 5, 2]",2,2,R
142,S7_T5_color_frame2740.jpg,0,0,1,1,0,R-L,"[3, 5, 2]",2,2,R
143,S7_T5_color_frame2824.jpg,0,0,2,2,0,R-L,"[3, 5, 2]",2,2,R
144,S7_T5_color_frame2898.jpg,0,0,3,3,0,R-L,"[3, 5, 2]",2,2,RL
145,S7_T5_color_frame2999.jpg,0,0,4,4,0,R-L,"[3, 5, 2]",2,2,RL
146,S7_T5_color_frame3079.jpg,0,0,5,5,0,R-L,"[3, 5, 2]",2,2,L
147,S7_T6_color_frame141.jpg,0,0,6,6,0,R-L,"[3, 5, 2]",2,2,L
148,S7_T6_color_frame270.jpg,1,1,0,0,0,R-L,"[4, 5, 2]",3,5,R
149,S7_T6_color_frame452.jpg,0,0,1,1,0,R-L,"[4, 5, 2]",3,5,R
150,S7_T6_color_frame513.jpg,0,0,2,2,0,R-L,"[4, 5, 2]",3,5,R
151,S7_T6_color_frame792.jpg,0,0,3,5,0,R-L,"[4, 5, 2]",3,5,RL
152,S7_T6_color_frame1089.jpg,0,0,4,6,0,R-L,"[4, 5, 2]",3,5,RL
153,S7_T6_color_frame1250.jpg,0,0,5,5,0,R-L,"[4, 5, 2]",3,5,L
154,S7_T6_color_frame1387.jpg,0,0,6,6,0,R-L,"[4, 5, 2]",3,5,L
155,S7_T6_color_frame1506.jpg,0,1,0,0,0,R-L,"[4, 5, 2]",3,4,R
156,S7_T6_color_frame1606.jpg,0,0,1,1,0,R-L,"[4, 5, 2]",3,4,R
157,S7_T6_color_frame1708.jpg,0,0,2,2,0,R-L,"[4, 5, 2]",3,4,R
158,S7_T6_color_frame1763.jpg,0,0,3,5,0,R-L,"[4, 5, 2]",3,4,RL
159,S7_T6_color_frame1880.jpg,0,0,4,4,0,R-L,"[4, 5, 2]",3,4,RL
160,S7_T6_color_frame1994.jpg,0,0,5,5,0,R-L,"[4, 5, 2]",3,4,L
161,S7_T6_color_frame2074.jpg,0,0,6,6,0,R-L,"[4, 5, 2]",3,4,L
162,S7_T6_color_frame2188.jpg,0,1,0,0,1,R-L,"[4, 5, 2]",3,2,R
163,S7_T6_color_frame2440.jpg,0,0,1,1,1,R-L,"[4, 5, 2]",3,2,R
164,S7_T6_color_frame2563.jpg,0,0,2,5,1,R-L,"[4, 5, 2]",3,2,R
165,S7_T6_color_frame2625.jpg,0,0,3,5,1,R-L,"[4, 5, 2]",3,2,RL
166,S7_T6_color_frame2790.jpg,0,0,4,4,1,R-L,"[4, 5, 2]",3,2,RL
167,S7_T6_color_frame2977.jpg,0,0,5,5,1,R-L,"[4, 5, 2]",3,2,L
168,S7_T6_color_frame3055.jpg,0,0,6,6,1,R-L,"[4, 5, 2]",3,2,L
